ENGLISH,ARMENIAN,CATEGORY
 angle, անկյուն,THINGS - TANGIBLE
 ant, մրջյուն,THINGS - TANGIBLE
 apple, խնձոր,THINGS - TANGIBLE
 arch, կամար,THINGS - TANGIBLE
 arm, թև ,THINGS - TANGIBLE
 army, բանակ,THINGS - TANGIBLE
 baby, երեխա,THINGS - TANGIBLE
 bag, պայուսակ,THINGS - TANGIBLE
 ball, գնդակ,THINGS - TANGIBLE
 band, նվագախումբ,THINGS - TANGIBLE
 basin, ավազան,THINGS - TANGIBLE
 basket, զամբյուղ,THINGS - TANGIBLE
 bath, բաղնիք,THINGS - TANGIBLE
 bed, մահճակալ,THINGS - TANGIBLE
 bee, մեղու,THINGS - TANGIBLE
 bell, զանգ,THINGS - TANGIBLE
 berry, հատապտուղ,THINGS - TANGIBLE
 bird, թռչուն,THINGS - TANGIBLE
 board, տախտակ,THINGS - TANGIBLE
 boat, նավակ,THINGS - TANGIBLE
 bone, ոսկոր,THINGS - TANGIBLE
 book, գիրք,THINGS - TANGIBLE
 boot, կոշիկ,THINGS - TANGIBLE
 bottle, շիշ,THINGS - TANGIBLE
 box, տուփ,THINGS - TANGIBLE
 boy, տղա,THINGS - TANGIBLE
 brain, ուղեղ,THINGS - TANGIBLE
 brake, արգելակ,THINGS - TANGIBLE
 branch, ճյուղ,THINGS - TANGIBLE
 brick, աղյուս,THINGS - TANGIBLE
 bridge, կամուրջ,THINGS - TANGIBLE
 brush, խոզանակ,THINGS - TANGIBLE
 bucket, դույլ,THINGS - TANGIBLE
 bulb, լամպ,THINGS - TANGIBLE
 button, կոճակ,THINGS - TANGIBLE
 cake, տորթ,THINGS - TANGIBLE
 camera, տեսախցիկ,THINGS - TANGIBLE
 card, քարտ,THINGS - TANGIBLE
 cart, սայլ,THINGS - TANGIBLE
 carriage, կառք,THINGS - TANGIBLE
 cat, կատու,THINGS - TANGIBLE
 chain, շղթա,THINGS - TANGIBLE
 cheese, պանիր,THINGS - TANGIBLE
 chest, կրծքավանդակ,THINGS - TANGIBLE
 chin, դունչ,THINGS - TANGIBLE
 church, եկեղեցի,THINGS - TANGIBLE
 circle, շրջան,THINGS - TANGIBLE
 clock, ժամացույց,THINGS - TANGIBLE
 cloud, ամպ,THINGS - TANGIBLE
 coat, վերարկու,THINGS - TANGIBLE
 collar, օձիք,THINGS - TANGIBLE
 comb, սանր,THINGS - TANGIBLE
 cord, լար,THINGS - TANGIBLE
 cow, կով,THINGS - TANGIBLE
 cup, բաժակ,THINGS - TANGIBLE
 curtain, վարագույր,THINGS - TANGIBLE
 cushion, բարձ,THINGS - TANGIBLE
 dog, շուն,THINGS - TANGIBLE
 door, դուռ,THINGS - TANGIBLE
 drawer, դարակ ,THINGS - TANGIBLE
 dress, զգեստ,THINGS - TANGIBLE
 drop, կաթիլ,THINGS - TANGIBLE
 ear, ականջ,THINGS - TANGIBLE
 egg, ձու,THINGS - TANGIBLE
 engine, շարժիչ,THINGS - TANGIBLE
 eye, աչք,THINGS - TANGIBLE
 face, դեմք,THINGS - TANGIBLE
 farm, ֆերմա,THINGS - TANGIBLE
 feather, փետուր,THINGS - TANGIBLE
 finger, մատ,THINGS - TANGIBLE
 fish, ձուկ,THINGS - TANGIBLE
 flag, դրոշ,THINGS - TANGIBLE
 floor, հատակ,THINGS - TANGIBLE
 fly, ճանճ,THINGS - TANGIBLE
 foot, ոտք,THINGS - TANGIBLE
 fork, պատառաքաղ,THINGS - TANGIBLE
 frame, շրջանակ,THINGS - TANGIBLE
 garden, պարտեզ,THINGS - TANGIBLE
 girl, աղջիկ,THINGS - TANGIBLE
 glove, ձեռնոց,THINGS - TANGIBLE
 goat, այծ,THINGS - TANGIBLE
 gun, ատրճանակ,THINGS - TANGIBLE
 hair, մազեր,THINGS - TANGIBLE
 hammer, մուրճ,THINGS - TANGIBLE
 hand, ձեռք,THINGS - TANGIBLE
 hat, գլխարկ,THINGS - TANGIBLE
 head, գլուխ,THINGS - TANGIBLE
 heart, սիրտ,THINGS - TANGIBLE
 hook, կարթ,THINGS - TANGIBLE
 horn, եղջյուր,THINGS - TANGIBLE
 horse, ձի,THINGS - TANGIBLE
 hospital, հիվանդանոց,THINGS - TANGIBLE
 house, տուն,THINGS - TANGIBLE
 island, կղզի,THINGS - TANGIBLE
 jewel, գոհար,THINGS - TANGIBLE
 kettle, թեյնիկ,THINGS - TANGIBLE
 key, բանալի,THINGS - TANGIBLE
 knee, ծունկ,THINGS - TANGIBLE
 knife, դանակ,THINGS - TANGIBLE
 knot, հանգույց,THINGS - TANGIBLE
 leaf, տերև,THINGS - TANGIBLE
 leg, ոտք,THINGS - TANGIBLE
 library, գրադարան,THINGS - TANGIBLE
 line, գիծ,THINGS - TANGIBLE
 lip, շրթունք,THINGS - TANGIBLE
